Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
251,5,2015-06-26,18561,2245,1,0,0,0
262,5,2015-06-26,17936,3275,1,0,0,0
562,5,2015-06-26,16902,3161,1,0,0,0
817,5,2015-06-26,19273,2843,1,0,0,0
1114,5,2015-06-26,18614,3236,1,0,0,0
251,4,2015-06-25,16802,2301,1,0,0,0
262,4,2015-06-25,15896,2874,1,0,0,0
562,4,2015-06-25,14777,2702,1,0,0,0
817,4,2015-06-25,19451,2887,1,0,0,0
1114,4,2015-06-25,18782,3075,1,0,0,0
251,3,2015-06-24,16028,2194,1,0,0,0
262,3,2015-06-24,16249,2780,1,0,0,0
562,3,2015-06-24,14956,2838,1,0,0,0
817,3,2015-06-24,21898,3157,1,0,0,0
1114,3,2015-06-24,17442,2789,1,0,0,0
251,2,2015-06-23,17075,2243,1,0,0,0
262,2,2015-06-23,15797,2780,1,0,0,0
562,2,2015-06-23,15113,2775,1,0,0,0
817,2,2015-06-23,19446,2906,1,0,0,0
1114,2,2015-06-23,18495,3021,1,0,0,0
251,1,2015-06-22,16843,2206,1,0,0,0
262,1,2015-06-22,18027,3142,1,0,0,0
562,1,2015-06-22,16542,3028,1,0,0,0
817,1,2015-06-22,21859,3240,1,0,0,0
1114,1,2015-06-22,18562,2783,1,0,0,0
251,7,2015-06-21,0,0,0,0,0,0
262,7,2015-06-21,28187,4335,1,0,0,0
562,7,2015-06-21,18960,3157,1,0,0,0
817,7,2015-06-21,0,0,0,0,0,0
1114,7,2015-06-21,0,0,0,0,0,0
251,6,2015-06-20,18206,2357,1,0,0,0
262,6,2015-06-20,16392,3033,1,0,0,0
562,6,2015-06-20,12467,2489,1,0,0,0
817,6,2015-06-20,14658,2053,1,0,0,0
1114,6,2015-06-20,22183,3549,1,0,0,0
251,5,2015-06-19,20680,2448,1,1,0,0
262,5,2015-06-19,20772,3471,1,1,0,0
562,5,2015-06-19,18604,3311,1,1,0,0
817,5,2015-06-19,22946,2996,1,1,0,0
1114,5,2015-06-19,21834,3211,1,1,0,0
251,4,2015-06-18,20512,2433,1,1,0,0
262,4,2015-06-18,19724,3202,1,1,0,0
562,4,2015-06-18,17918,3060,1,1,0,0
817,4,2015-06-18,23337,3169,1,1,0,0
1114,4,2015-06-18,21282,2982,1,1,0,0
251,3,2015-06-17,21100,2575,1,1,0,0
262,3,2015-06-17,19639,3057,1,1,0,0
562,3,2015-06-17,18456,3017,1,1,0,0
817,3,2015-06-17,24332,3330,1,1,0,0
1114,3,2015-06-17,23455,3322,1,1,0,0
251,2,2015-06-16,23394,2664,1,1,0,0
262,2,2015-06-16,19982,2941,1,1,0,0
562,2,2015-06-16,19034,3021,1,1,0,0
817,2,2015-06-16,25085,3289,1,1,0,0
1114,2,2015-06-16,22344,3191,1,1,0,0
251,1,2015-06-15,27017,2902,1,1,0,0
262,1,2015-06-15,21022,3227,1,1,0,0
562,1,2015-06-15,20735,3284,1,1,0,0
817,1,2015-06-15,28545,3609,1,1,0,0
1114,1,2015-06-15,24482,3377,1,1,0,0
251,7,2015-06-14,0,0,0,0,0,0
262,7,2015-06-14,29937,4448,1,0,0,0
562,7,2015-06-14,18775,3170,1,0,0,0
817,7,2015-06-14,0,0,0,0,0,0
1114,7,2015-06-14,0,0,0,0,0,0
251,6,2015-06-13,17677,2331,1,0,0,0
262,6,2015-06-13,18043,3224,1,0,0,0
562,6,2015-06-13,12897,2593,1,0,0,0
817,6,2015-06-13,11943,2049,1,0,0,0
1114,6,2015-06-13,22490,3569,1,0,0,0
251,5,2015-06-12,16904,2245,1,0,0,0
262,5,2015-06-12,18592,3553,1,0,0,0
562,5,2015-06-12,16542,3273,1,0,0,0
817,5,2015-06-12,19520,3063,1,0,0,0
1114,5,2015-06-12,18707,3409,1,0,0,0
251,4,2015-06-11,18340,2471,1,0,0,0
262,4,2015-06-11,17026,2984,1,0,0,0
562,4,2015-06-11,16512,2996,1,0,0,0
817,4,2015-06-11,21053,3224,1,0,0,0
1114,4,2015-06-11,19420,3337,1,0,0,0
251,3,2015-06-10,17614,2303,1,0,0,0
262,3,2015-06-10,16085,2823,1,0,0,0
562,3,2015-06-10,16795,2913,1,0,0,0
817,3,2015-06-10,21379,3188,1,0,0,0
1114,3,2015-06-10,19162,3086,1,0,0,0
251,2,2015-06-09,18391,2396,1,0,0,0
262,2,2015-06-09,17643,2973,1,0,0,0
562,2,2015-06-09,16024,2981,1,0,0,0
817,2,2015-06-09,20205,3106,1,0,0,0
1114,2,2015-06-09,18372,2952,1,0,0,0
251,1,2015-06-08,19199,2477,1,0,0,0
262,1,2015-06-08,18662,3075,1,0,0,0
562,1,2015-06-08,18084,3103,1,0,0,0
817,1,2015-06-08,22076,3268,1,0,0,0
1114,1,2015-06-08,20368,3086,1,0,0,0
251,7,2015-06-07,0,0,0,0,0,0
262,7,2015-06-07,29879,4531,1,0,0,0
562,7,2015-06-07,18421,3282,1,0,0,0
817,7,2015-06-07,0,0,0,0,0,0
1114,7,2015-06-07,0,0,0,0,0,0
251,6,2015-06-06,17060,2474,1,0,0,0
262,6,2015-06-06,17016,3252,1,0,0,0
562,6,2015-06-06,13483,2609,1,0,0,0
817,6,2015-06-06,13590,2221,1,0,0,0
1114,6,2015-06-06,22017,3783,1,0,0,0
251,5,2015-06-05,26139,3080,1,1,0,0
262,5,2015-06-05,24150,4077,1,1,0,0
562,5,2015-06-05,20018,3689,1,1,0,0
817,5,2015-06-05,22762,3373,1,1,0,0
1114,5,2015-06-05,26869,4170,1,1,0,0
251,4,2015-06-04,0,0,0,1,a,0
262,4,2015-06-04,20549,3334,1,1,0,0
562,4,2015-06-04,19314,3240,1,1,0,0
817,4,2015-06-04,25051,3415,1,1,0,0
1114,4,2015-06-04,24609,3700,1,1,0,0
251,3,2015-06-03,22272,2642,1,1,0,0
262,3,2015-06-03,20177,3139,1,1,0,0
562,3,2015-06-03,20018,3166,1,1,0,0
817,3,2015-06-03,26953,3476,1,1,0,0
1114,3,2015-06-03,25244,3458,1,1,0,0
251,2,2015-06-02,24650,2691,1,1,0,0
262,2,2015-06-02,21471,3214,1,1,0,0
562,2,2015-06-02,20810,3183,1,1,0,0
817,2,2015-06-02,26627,3495,1,1,0,0
1114,2,2015-06-02,25009,3419,1,1,0,0
251,1,2015-06-01,28403,2974,1,1,0,0
262,1,2015-06-01,23204,3452,1,1,0,0
562,1,2015-06-01,24214,3533,1,1,0,0
817,1,2015-06-01,29475,3499,1,1,0,0
1114,1,2015-06-01,27203,3555,1,1,0,0
251,7,2015-05-31,0,0,0,0,0,0
262,7,2015-05-31,32400,4668,1,0,0,0
562,7,2015-05-31,21975,3504,1,0,0,0
817,7,2015-05-31,0,0,0,0,0,0
1114,7,2015-05-31,0,0,0,0,0,0
251,6,2015-05-30,21430,2962,1,0,0,0
262,6,2015-05-30,19638,3302,1,0,0,0
562,6,2015-05-30,14890,2689,1,0,0,0
817,6,2015-05-30,13920,2024,1,0,0,0
1114,6,2015-05-30,25621,3804,1,0,0,0
251,5,2015-05-29,19744,2705,1,0,0,0
262,5,2015-05-29,21134,3509,1,0,0,0
562,5,2015-05-29,20628,3545,1,0,0,0
817,5,2015-05-29,20771,3022,1,0,0,0
1114,5,2015-05-29,23458,3568,1,0,0,0
251,4,2015-05-28,17670,2313,1,0,0,0
262,4,2015-05-28,19820,3152,1,0,0,0
562,4,2015-05-28,18127,3183,1,0,0,0
817,4,2015-05-28,19957,3021,1,0,0,0
1114,4,2015-05-28,19320,2937,1,0,0,0
251,3,2015-05-27,16519,2259,1,0,0,0
262,3,2015-05-27,17418,2857,1,0,0,0
562,3,2015-05-27,16813,2939,1,0,0,0
817,3,2015-05-27,21900,3201,1,0,0,0
1114,3,2015-05-27,20642,3154,1,0,0,0
251,2,2015-05-26,21096,2612,1,0,0,1
262,2,2015-05-26,19155,3150,1,0,0,0
562,2,2015-05-26,18116,3144,1,0,0,1
817,2,2015-05-26,22840,3216,1,0,0,1
1114,2,2015-05-26,22169,3327,1,0,0,0
251,1,2015-05-25,0,0,0,0,a,0
262,1,2015-05-25,35159,4989,1,0,a,0
562,1,2015-05-25,21370,3435,1,0,a,0
817,1,2015-05-25,0,0,0,0,a,0
1114,1,2015-05-25,0,0,0,0,a,0
251,7,2015-05-24,0,0,0,0,0,0
262,7,2015-05-24,30978,4985,1,0,0,0
562,7,2015-05-24,17237,2974,1,0,0,0
817,7,2015-05-24,0,0,0,0,0,0
1114,7,2015-05-24,0,0,0,0,0,0
251,6,2015-05-23,17405,2258,1,0,0,0
262,6,2015-05-23,18179,3164,1,0,0,0
562,6,2015-05-23,13722,2566,1,0,0,0
817,6,2015-05-23,14827,2141,1,0,0,0
1114,6,2015-05-23,23073,3561,1,0,0,0
251,5,2015-05-22,19089,2331,1,1,0,0
262,5,2015-05-22,21944,3513,1,1,0,0
562,5,2015-05-22,17726,3193,1,1,0,0
817,5,2015-05-22,22397,3144,1,1,0,0
1114,5,2015-05-22,22681,3508,1,1,0,0
251,4,2015-05-21,20285,2502,1,1,0,0
262,4,2015-05-21,18986,2819,1,1,0,0
562,4,2015-05-21,17312,2946,1,1,0,0
817,4,2015-05-21,22520,3013,1,1,0,0
1114,4,2015-05-21,21125,3086,1,1,0,0
251,3,2015-05-20,20682,2523,1,1,0,0
262,3,2015-05-20,18333,2759,1,1,0,0
562,3,2015-05-20,18532,2943,1,1,0,0
817,3,2015-05-20,20748,2925,1,1,0,0
1114,3,2015-05-20,21821,3150,1,1,0,0
251,2,2015-05-19,20635,2473,1,1,0,0
262,2,2015-05-19,19036,3114,1,1,0,0
562,2,2015-05-19,19488,3204,1,1,0,0
817,2,2015-05-19,25232,3345,1,1,0,0
1114,2,2015-05-19,22263,3128,1,1,0,0
251,1,2015-05-18,25345,2814,1,1,0,0
262,1,2015-05-18,20564,3200,1,1,0,0
562,1,2015-05-18,21957,3365,1,1,0,0
817,1,2015-05-18,26705,3587,1,1,0,0
1114,1,2015-05-18,24395,3380,1,1,0,0
251,7,2015-05-17,0,0,0,0,0,0
262,7,2015-05-17,29008,4397,1,0,0,0
562,7,2015-05-17,20043,3327,1,0,0,0
817,7,2015-05-17,0,0,0,0,0,0
1114,7,2015-05-17,0,0,0,0,0,0
251,6,2015-05-16,17349,2319,1,0,0,0
262,6,2015-05-16,16189,2915,1,0,0,0
562,6,2015-05-16,13342,2643,1,0,0,0
817,6,2015-05-16,13821,2029,1,0,0,0
1114,6,2015-05-16,23714,3450,1,0,0,0
251,5,2015-05-15,22685,2914,1,0,0,0
262,5,2015-05-15,20874,3280,1,0,0,1
562,5,2015-05-15,16667,3049,1,0,0,1
817,5,2015-05-15,20642,2940,1,0,0,1
1114,5,2015-05-15,27785,4121,1,0,0,1
251,4,2015-05-14,0,0,0,0,a,0
262,4,2015-05-14,38367,5192,1,0,a,1
562,4,2015-05-14,20788,3347,1,0,a,0
817,4,2015-05-14,0,0,0,0,a,0
1114,4,2015-05-14,0,0,0,0,a,1
251,3,2015-05-13,20774,2557,1,0,0,0
262,3,2015-05-13,21861,3450,1,0,0,1
562,3,2015-05-13,19716,3399,1,0,0,0
817,3,2015-05-13,22672,3177,1,0,0,0
1114,3,2015-05-13,22294,3464,1,0,0,1
251,2,2015-05-12,18711,2400,1,0,0,0
262,2,2015-05-12,16489,2887,1,0,0,1
562,2,2015-05-12,16629,2989,1,0,0,0
817,2,2015-05-12,21100,3131,1,0,0,0
1114,2,2015-05-12,19913,3164,1,0,0,1
251,1,2015-05-11,16926,2364,1,0,0,0
262,1,2015-05-11,18351,3054,1,0,0,1
562,1,2015-05-11,16189,3004,1,0,0,0
817,1,2015-05-11,22361,3203,1,0,0,0
1114,1,2015-05-11,21907,3491,1,0,0,1
251,7,2015-05-10,0,0,0,0,0,0
262,7,2015-05-10,31527,4729,1,0,0,0
562,7,2015-05-10,19354,3265,1,0,0,0
817,7,2015-05-10,0,0,0,0,0,0
1114,7,2015-05-10,0,0,0,0,0,0
251,6,2015-05-09,20113,2671,1,0,0,0
262,6,2015-05-09,19315,3424,1,0,0,0
562,6,2015-05-09,13180,2508,1,0,0,0
817,6,2015-05-09,11984,1843,1,0,0,0
1114,6,2015-05-09,23441,3691,1,0,0,0
251,5,2015-05-08,20596,2577,1,1,0,0
262,5,2015-05-08,19618,3250,1,1,0,0
562,5,2015-05-08,18880,3331,1,1,0,0
817,5,2015-05-08,20153,2681,1,1,0,0
1114,5,2015-05-08,23966,3482,1,1,0,0
251,4,2015-05-07,20500,2549,1,1,0,0
262,4,2015-05-07,19438,2982,1,1,0,0
562,4,2015-05-07,18413,3089,1,1,0,0
817,4,2015-05-07,21387,2905,1,1,0,0
1114,4,2015-05-07,22231,3140,1,1,0,0
251,3,2015-05-06,22487,2668,1,1,0,0
262,3,2015-05-06,18698,2785,1,1,0,0
562,3,2015-05-06,19112,3161,1,1,0,0
817,3,2015-05-06,21646,3054,1,1,0,0
1114,3,2015-05-06,23293,3284,1,1,0,0
251,2,2015-05-05,21346,2569,1,1,0,0
262,2,2015-05-05,18336,2874,1,1,0,0
562,2,2015-05-05,18898,3119,1,1,0,0
817,2,2015-05-05,21962,2941,1,1,0,0
1114,2,2015-05-05,22320,3205,1,1,0,0
251,1,2015-05-04,25530,2919,1,1,0,0
262,1,2015-05-04,20832,3308,1,1,0,0
562,1,2015-05-04,21517,3536,1,1,0,0
817,1,2015-05-04,28072,3663,1,1,0,0
1114,1,2015-05-04,28059,3726,1,1,0,0
251,7,2015-05-03,0,0,0,0,0,0
262,7,2015-05-03,29995,4533,1,0,0,0
562,7,2015-05-03,20279,3359,1,0,0,0
817,7,2015-05-03,0,0,0,0,0,0
1114,7,2015-05-03,0,0,0,0,0,0
251,6,2015-05-02,23653,2938,1,0,0,0
262,6,2015-05-02,20514,3460,1,0,0,0
562,6,2015-05-02,15457,2893,1,0,0,0
817,6,2015-05-02,17160,2437,1,0,0,0
1114,6,2015-05-02,31445,4453,1,0,0,0
251,5,2015-05-01,0,0,0,1,a,0
262,5,2015-05-01,38484,5458,1,1,a,0
562,5,2015-05-01,22866,3655,1,1,a,0
817,5,2015-05-01,0,0,0,1,a,0
1114,5,2015-05-01,0,0,0,1,a,0
251,4,2015-04-30,24028,2807,1,1,0,0
262,4,2015-04-30,26849,4094,1,1,0,0
562,4,2015-04-30,26481,4075,1,1,0,0
817,4,2015-04-30,25979,3458,1,1,0,0
1114,4,2015-04-30,26604,3630,1,1,0,0
251,3,2015-04-29,21031,2532,1,1,0,0
262,3,2015-04-29,19737,3024,1,1,0,0
562,3,2015-04-29,20357,3185,1,1,0,0
817,3,2015-04-29,24525,3249,1,1,0,0
1114,3,2015-04-29,24746,3428,1,1,0,0
251,2,2015-04-28,21951,2666,1,1,0,0
262,2,2015-04-28,21331,3087,1,1,0,0
562,2,2015-04-28,19790,3171,1,1,0,0
817,2,2015-04-28,25161,3303,1,1,0,0
1114,2,2015-04-28,23315,3204,1,1,0,0
251,1,2015-04-27,22906,2605,1,1,0,0
262,1,2015-04-27,21005,3217,1,1,0,0
562,1,2015-04-27,22895,3498,1,1,0,0
817,1,2015-04-27,25498,3306,1,1,0,0
1114,1,2015-04-27,24326,3242,1,1,0,0
251,7,2015-04-26,0,0,0,0,0,0
262,7,2015-04-26,28853,4340,1,0,0,0
562,7,2015-04-26,18894,3099,1,0,0,0
817,7,2015-04-26,0,0,0,0,0,0
1114,7,2015-04-26,0,0,0,0,0,0
251,6,2015-04-25,17211,2398,1,0,0,0
262,6,2015-04-25,17406,3206,1,0,0,0
562,6,2015-04-25,13760,2509,1,0,0,0
817,6,2015-04-25,12166,2020,1,0,0,0
1114,6,2015-04-25,22424,3408,1,0,0,0
251,5,2015-04-24,16080,2207,1,0,0,0
262,5,2015-04-24,18978,3185,1,0,0,0
562,5,2015-04-24,16411,3115,1,0,0,0
817,5,2015-04-24,19292,2922,1,0,0,0
1114,5,2015-04-24,19091,3084,1,0,0,0
251,4,2015-04-23,16573,2256,1,0,0,0
262,4,2015-04-23,18869,2585,1,0,0,0
562,4,2015-04-23,14957,2759,1,0,0,0
817,4,2015-04-23,17520,2676,1,0,0,0
1114,4,2015-04-23,17467,2820,1,0,0,0
251,3,2015-04-22,16280,2200,1,0,0,0
262,3,2015-04-22,13738,2507,1,0,0,0
562,3,2015-04-22,15329,2666,1,0,0,0
817,3,2015-04-22,16265,2604,1,0,0,0
1114,3,2015-04-22,16680,2838,1,0,0,0
251,2,2015-04-21,16510,2345,1,0,0,0
262,2,2015-04-21,15959,2771,1,0,0,0
562,2,2015-04-21,15469,2818,1,0,0,0
817,2,2015-04-21,19156,3102,1,0,0,0
1114,2,2015-04-21,17478,2918,1,0,0,0
251,1,2015-04-20,17561,2292,1,0,0,0
262,1,2015-04-20,16978,2922,1,0,0,0
562,1,2015-04-20,16532,3123,1,0,0,0
817,1,2015-04-20,21277,3223,1,0,0,0
1114,1,2015-04-20,20041,3097,1,0,0,0
251,7,2015-04-19,0,0,0,0,0,0
262,7,2015-04-19,27077,4248,1,0,0,0
562,7,2015-04-19,17830,3381,1,0,0,0
817,7,2015-04-19,0,0,0,0,0,0
1114,7,2015-04-19,0,0,0,0,0,0
251,6,2015-04-18,17189,2329,1,0,0,0
262,6,2015-04-18,18179,3134,1,0,0,0
562,6,2015-04-18,13204,2491,1,0,0,0
817,6,2015-04-18,13319,1949,1,0,0,0
1114,6,2015-04-18,22837,3568,1,0,0,0
251,5,2015-04-17,19352,2378,1,1,0,0
262,5,2015-04-17,23687,3544,1,1,0,0
562,5,2015-04-17,20186,3553,1,1,0,0
817,5,2015-04-17,21524,2977,1,1,0,0
1114,5,2015-04-17,23806,3366,1,1,0,0
251,4,2015-04-16,20237,2421,1,1,0,0
262,4,2015-04-16,20430,3092,1,1,0,0
562,4,2015-04-16,18891,3202,1,1,0,0
817,4,2015-04-16,22631,3170,1,1,0,0
1114,4,2015-04-16,21498,3090,1,1,0,0
251,3,2015-04-15,19603,2442,1,1,0,0
262,3,2015-04-15,18241,2948,1,1,0,0
562,3,2015-04-15,19068,3036,1,1,0,0
817,3,2015-04-15,21998,3165,1,1,0,0
1114,3,2015-04-15,22887,3361,1,1,0,0
251,2,2015-04-14,20739,2557,1,1,0,0
262,2,2015-04-14,19453,2932,1,1,0,0
562,2,2015-04-14,20388,3268,1,1,0,0
817,2,2015-04-14,23663,3301,1,1,0,0
1114,2,2015-04-14,23495,3139,1,1,0,0
251,1,2015-04-13,22854,2705,1,1,0,0
262,1,2015-04-13,21650,3228,1,1,0,0
562,1,2015-04-13,22817,3450,1,1,0,0
817,1,2015-04-13,26072,3335,1,1,0,0
1114,1,2015-04-13,25765,3217,1,1,0,0
251,7,2015-04-12,0,0,0,0,0,0
262,7,2015-04-12,29650,4553,1,0,0,0
562,7,2015-04-12,20255,3460,1,0,0,0
817,7,2015-04-12,0,0,0,0,0,0
1114,7,2015-04-12,0,0,0,0,0,0
251,6,2015-04-11,16767,2218,1,0,0,0
